ID,STATION_NAME,PROVINCE,slng,slat,statName交易,statName地图,经度差,纬度差,provName,id,statName,lng_x,lat_x,prov,Name,Province,lng_y,lat_y
G0022610010090,张家湾,shaanxi,108.474318,36.044639000000004,张家湾,,,,shaanxi,,,,,,张家湾收费站,SHAAN_XI,108.795647,36.079440999999996
G0030610030160,磻溪,shaanxi,107.402222,34.331666999999996,磻溪,,,,shaanxi,,,,,,磻溪收费站,SHAAN_XI,107.40691299999999,34.330921999999994
G0030610010050,罗敷,shaanxi,109.949665,34.539849,罗敷,,,,shaanxi,,,,,,罗敷收费站,SHAAN_XI,109.94953799999999,34.539615999999995
G0065610020030,横山,shaanxi,109.234195,38.040039,横山,,,,shaanxi,,,,,,横山收费站,SHAAN_XI,109.23935,38.040607
G0040610010060,丹凤,shaanxi,110.28565900000001,33.708131,丹凤,,,,shaanxi,,,,,,丹凤收费站,SHAAN_XI,110.27933999999999,33.70183
G0065610130080,毛坝,shaanxi,108.277498,32.350662,毛坝,,,,shaanxi,,,,,,毛坝收费站,SHAAN_XI,108.277355,32.350958
G0070610050010,西张堡,shaanxi,108.3137,34.2937,西张堡,,,,shaanxi,,,,,,西张堡收费站,SHAAN_XI,108.530851,34.492267
G0070610060040,彬县,shaanxi,108.126025,35.021861,彬县,,,,shaanxi,,,,,,彬县收费站,SHAAN_XI,108.12598999999999,35.021473
G065E610010050,镇川,shaanxi,110.040477,37.899539000000004,镇川,,,,shaanxi,,,,,,镇川收费站,SHAAN_XI,110.04608200000001,37.900396
G2211610010010,陕西延川,shaanxi,110.38700800000001,36.897742,陕西延川,,,,shaanxi,,,,,,延川收费站,SHAAN_XI,110.150136,36.882481
G2211610010030,延川,shaanxi,110.150278,36.881944,延川,,,,shaanxi,,,,,,延川收费站,SHAAN_XI,110.150136,36.882481
G065E610020010,蒲城东,shaanxi,109.645044,34.954322999999995,蒲城东,,,,shaanxi,,,,,,蒲城东收费站,SHAAN_XI,109.638369,34.948413
G065E610020020,卤阳湖,shaanxi,109.65123700000001,34.851444,卤阳湖,,,,shaanxi,,,,,,卤阳湖收费站,SHAAN_XI,109.644452,34.845619
G3001610010090,河池寨,shaanxi,108.82736299999999,34.199740999999996,河池寨,,,,shaanxi,,,,,,河池寨收费站,SHAAN_XI,108.831923,34.197957
G7011610020070,汉中北,shaanxi,107.036721,33.168378999999995,汉中北,,,,shaanxi,,,,,,汉中北收费站,SHAAN_XI,107.041308,33.166598
G3001610010110,未央(北),shaanxi,108.961565,34.373511,未央(北),,,,shaanxi,,,,,,未央收费站,SHAAN_XI,108.948447,34.357113
G7011610010100,恒口,shaanxi,108.73787800000001,32.737057,恒口,,,,shaanxi,,,,,,恒口收费站,SHAAN_XI,108.74256299999999,32.734853
G0317510010070,成灌高速都江堰,sichuan,,,成灌高速都江堰,成灌高速都江堰收费站,,,sichuan,2110034467.0,成灌高速都江堰,103.66977,30.95706,sichuan,成灌高速都江堰收费站,SI_CHUAN,103.669589,30.957029
S0402230010040,八五三,heilongjiang,132.91706399999998,46.519713,八五三,八五三收费站,0.015096,0.003343,heilongjiang,2110020490.0,八五三,132.93216,46.51637,heilongjiang,八五三收费站,HEI_LONG_JIANG,132.93229,46.516226
S0012230010040,依安,heilongjiang,125.28658999999999,47.916309999999996,依安,,,,heilongjiang,,,,,,依安收费站,HEI_LONG_JIANG,125.238419,47.920693
S0402230020050,新河,heilongjiang,131.836755,45.487245,新河,,,,heilongjiang,,,,,,新河收费站,HEI_LONG_JIANG,131.844231,45.489466
G1012230020050,创业,heilongjiang,133.57,47.212,创业,,,,heilongjiang,,,,,,创业收费站,HEI_LONG_JIANG,133.092538,47.352515000000004
S0019310010020,S19张堰,shanghai,121.26223700000001,30.797572,S19张堰,,,,shanghai,,,,,,张堰收费站,SHANG_HAI,121.255628,30.791771
G1501310030020,G1501沪南公路,shanghai,121.78677900000001,31.041851,G1501沪南公路,,,,shanghai,,,,,,沪南公路收费站,SHANG_HAI,121.790842,31.039717
G1501310040020,G1501亭林,shanghai,121.343775,30.879540000000002,G1501亭林,,,,shanghai,,,,,,亭林收费站,SHANG_HAI,121.337332,30.873362
G3014650010120,和什托洛盖,xinjiang,,,和什托洛盖,和什托洛盖收费站,,,xinjiang,2110066953.0,和什托洛盖,86.03859,46.51242,xinjiang,和什托洛盖收费站,XIN_JIANG,86.038489,46.512603000000006
G5001500020060,双福北,chongqing,106.294504,29.428875,双福北,,,,chongqing,,,,,,双福北收费站,CHONG_QING,106.303397,29.430903000000004
