"ID","STATION_NAME","PROVINCE","slng","slat"
"G0045150010030","大林","neimenggu",,
"G2511150010060","辽河镇","neimenggu",,
"G0016150030050","赤峰西","neimenggu",,
"G0045150030080","赤峰东","neimenggu",,
"G0045150030010","齐家窝铺交接","neimenggu",,
"G0045150040010","大营子交接","neimenggu",,
"G0025440070040","镇隆","guangdong","114.350000","23.000000"
"G0045440010050","隆街","guangdong","114.372203","24.233352"
"G0055440010120","梁村","guangdong","112.012222","23.967777"
"G0006620030040","海石湾","gansu","102.943951","36.301040"
"G0036410050020","洛河北","henan",,
"G3511410020010","滑县牛屯","henan",,
"G0078450040010","洛埠","guangxi","109.543614","24.438742"
"S0052450030050","马山南","guangxi","108.199212","23.623023"
"S0052450040020","四塘","guangxi","107.803616","23.403226"
"S5101450010040","八鲤","guangxi","108.542372","22.734743"
"G0072450010020","黄沙河","guangxi","111.226523","26.092064"
"G0055430050070","南风坳","hunan",,
"G0065430010030","花垣西","hunan",,
"G0056530090020","龙街","yunnan","99.739750","25.397700"
"G8511530030060","忠爱","yunnan","101.507130","23.324677"
"G0085530020020","悦墨","yunnan","103.775090","27.830370"
"G8511530010140","通","yunnan","102.528985","24.357470"
"G0323530010060","石屏","yunnan","102.476344","23.710687"
"S0039530010020","西邑","yunnan","100.177136","26.264202"
"G0056530110010","蒲缥","yunnan","99.062450","24.964218"
"G0078530010020","江召法雨","yunnan","103.941704","24.847274"
"S0027530010030","大营","yunnan","102.820514","24.800835"
"G0056530090080","保山","yunnan","99.182164","25.115675"
"G0078530030040","松茂","yunnan","102.910842","24.913144"
"G0015320020010","灌云北","jiangsu","119.282678","34.420647"
"S0314340010010","皖S314博望","anhui","118.421666","31.481666"
"S0014440050050","黄岭","guangdong","111.158345","21.834054"
"S0013440010060","雷岭","guangdong","116.214231","23.055174"
"S001L510020020","通江","sichuan",,
"S0334340010010","合徐高速公路淮南连接线","anhui","117.172052","32.621368"
"G0094440090050","新和","guangdong","113.473595","23.425279"
"G0065500020040","大观","chongqing","106.986927","29.241892"
"G0060360250010","梨温路赣浙界梨园","jiangxi",,
"G0072360390030","吉莲路永新","jiangxi",,
"G6011360500010","昌宁路南段流坑南","jiangxi",,
"S0036360110070","昌泰路泰和","jiangxi",,
"G2511150020040","甘旗卡","neimenggu",,
"G5511150020090","乌兰浩特西","neimenggu",,
"G0055440030040","宾亨","guangdong","112.780108","23.312564"
"G0015440122020","杨梅","guangdong","110.609673","21.532076"
"G0004440020060","渔湾","guangdong","113.670679","24.186672"
"G0075620010020","井坪","gansu","103.698746","35.749899"
"G0055410070040","陶营","henan",,
"G3001410010070","大学南路","henan",,
"S0004340010020","灵璧","anhui","117.550471","33.601985"
"S0006340010010","亳永主线","anhui","115.979523","33.922186"
"S0007340010070","沱湖","anhui",,
"G0018370160040","威海南海","shandong",,
"G0003370040020","济南西","shandong",,
"G0002370090010","济南东","shandong",,
"G0002370050030","青驼","shandong",,
"G0002370050050","临沂北","shandong",,
"G0018370120020","东营北","shandong",,
"G0018370110010","利津","shandong",,
"G0022370040010","辛庄","shandong",,
"G0022370010050","辛兴","shandong",,
"G1813370020050","海阳西","shandong",,
"G2516370040020","金郝庄","shandong",,
"S0017510010040","遂西嘉陵七宝寺","sichuan",,
"S0022510010020","自隆响石","sichuan",,
"G0002320020020","泰兴北","jiangsu","120.025856","32.245507"
"G0025320020050","灌云南","jiangsu","119.224763","34.274414"
"S0019320020020","鹿苑","jiangsu","120.363448","31.515017"
"G0045150020030","余粮堡","neimenggu",,
"G0045150030070","三道井","neimenggu",,
"G0002110010050","泗村店","beijing","116.920240","39.485380"
"S0011110020010","高丽营","beijing","116.486214","40.181608"
"G0102110010040","丁各庄","beijing","116.727502","39.926384"
"G0045110020020","榆垡南","beijing","116.279252","39.477392"
"G0103110010020","会村","beijing","116.590257","39.907853"
"G0045110020010","求贤","beijing","116.288473","39.511447"
"G15W3350060030","南安梅山","fujian",,
"G0030410030050","文化路","henan",,
"G0045410010020","南乐","henan",,
"G5512410040030","中原路","henan",,
"S0032410020030","苌庄","henan",,
"S0038410010010","新阳豫皖省界","henan",,
"S0087410020020","广武","henan",,
"G0069610010040","淳化南","shaanxi","108.618522","34.784251"
"S7101430010030","新桥河","hunan",,
"S0043530010010","南信桥","yunnan","100.159645","24.421470"
