statName交易,statName地图,经度差,纬度差,provName
朝阳北,朝阳北收费站,0.005777,0.00209,liaoning
宁官西,,,,liaoning
本溪南,本溪南收费站,0.005533,0.00227,liaoning
南芬,南芬收费站,0.005808,0.002082,liaoning
沈抚新区,,,,liaoning
新民北,新民北收费站,0.005355,0.001892,liaoning
上夹河,上夹河收费站,0.005894,0.002239,liaoning
古钱岭,,,,guangdong
平台,,,,guangdong
云浮东,云浮东收费站,0.005555,0.002035,guangdong
高楞,高楞收费站,0.006369,0.00573,heilongjiang
汉沽,汉沽收费站,,,tianjin
天津,天津收费站,,,tianjin
西部新城,,,,tianjin
津蓟天津,津蓟天津收费站,,,tianjin
栖霞,栖霞收费站,0.005117,0.001336,jiangsu
润扬大桥主线,,,,jiangsu
天池,,,,jiangsu
西亭,西亭收费站,0.006378,0.005892,jiangsu
无锡新区,无锡新区收费站,0.193586,0.2103,jiangsu
宿迁东,宿迁东收费站,0.006102,0.005281,jiangsu
曼歇坝,曼歇坝收费站,0.003299,0.00752,yunnan
德泽,,,,yunnan
电厂,,,,yunnan
梅西,,,,guangdong
广巴旺苍东,,,,sichuan
资眉北斗,,,,sichuan
东阜,东阜收费站,0.005558,0.002613,guangdong
化龙,,,,guangdong
小径湾,小径湾收费站,0.004664,0.002833,guangdong
义合,义合收费站,0.132411,0.042899,guangdong
那洲,那洲收费站,0.005421,0.002661,guangdong
斗山,斗山收费站,0.004959,0.002861,guangdong
达陕宣汉,,,,sichuan
苏溪,,,,zhejiang
红古尔玉林,,,,neimenggu
准兴三瑞里互通,,,,neimenggu
呼城黄河北,,,,neimenggu
石家庄,石家庄收费站,0.03718,0.131822,hebei
南宫,南宫收费站,0.00606,0.000695,hebei
河城街,河城街收费站,0.08661,0.06357,hebei
田庄,,,,hebei
迁安西,迁安西收费站,0.006558,0.00564,hebei
S26嘉松中路,,,,shanghai
平凉东,平凉东收费站,0.004072,0.000713,gansu
安门,安门收费站,0.001765,0.000242,gansu
龙泉寺,龙泉寺收费站,0.00266,0.000043,gansu
营前,营前收费站,,,fujian
高陂,高陂收费站,,,fujian
渔溪,渔溪收费站,,,fujian
厦门,厦门收费站,,,fujian
福安北,福安北收费站,,,fujian
成自泸成都,,,,sichuan
青铜峡,青铜峡收费站,,,ningxia
中宁,中宁收费站,,,ningxia
盐池主线,,,,ningxia
华石,,,,guangdong
水寨,,,,guangdong
南盛,,,,guangdong
团结,,,,heilongjiang
五星湖,,,,heilongjiang
绥芬河,绥芬河收费站,0.06943,0.12546,heilongjiang
滨海南,滨海南收费站,,,tianjin
津港,津港收费站,,,tianjin
凤仪,,,,yunnan
昆明南,,,,yunnan
宝山,,,,yunnan
镇安,镇安收费站,0.000985,0.006117,yunnan
碧城,,,,yunnan
大开门,大开门收费站,0.004093,0.005539,yunnan
召夸,召夸收费站,0.003313,0.009869,yunnan
海谷,海谷收费站,0.002696,0.005643,yunnan
勐远,,,,yunnan
胜境关,,,,yunnan
浮山,,,,guangdong
皖S445博望,,,,anhui
青山桥,,,,hunan
